Date,Open,High,Low,Close,Volume
06/21/2022,"133.42","137.06","133.32","135.87","81,000,484"
06/17/2022,"130.07","133.08","129.81","131.56","134,520,297"
06/16/2022,"132.08","132.39","129.04","130.06","107,961,508"
06/15/2022,"134.29","137.34","132.16","135.43","91,532,969"
06/14/2022,"133.13","133.89","131.48","132.76","84,784,328"
06/13/2022,"132.87","135.20","131.44","131.88","122,207,102"
06/10/2022,"140.28","140.76","137.06","137.13","91,566,641"
06/09/2022,"147.08","147.95","142.53","142.64","69,472,977"
06/08/2022,"148.58","149.87","147.46","147.96","53,950,199"
06/07/2022,"144.35","149.00","144.10","148.71","67,808,148"
06/06/2022,"147.03","148.57","144.90","146.14","71,598,383"
06/03/2022,"146.90","147.97","144.46","145.38","88,570,289"
06/02/2022,"147.83","151.27","146.86","151.21","72,348,062"
06/01/2022,"149.90","151.74","147.68","148.71","74,286,641"
05/31/2022,"149.07","150.66","146.84","148.84","103,718,398"
05/27/2022,"145.39","149.68","145.26","149.64","90,978,492"
05/26/2022,"137.39","144.34","137.14","143.78","90,601,555"
05/25/2022,"138.43","141.79","138.34","140.52","92,482,703"
05/24/2022,"140.81","141.97","137.33","140.36","104,132,703"
05/23/2022,"137.79","143.26","137.65","143.11","117,726,305"
05/20/2022,"139.09","140.70","132.61","137.59","137,426,094"
05/19/2022,"139.88","141.66","136.60","137.35","136,095,594"
05/18/2022,"146.85","147.36","139.90","140.82","109,742,898"
05/17/2022,"148.86","149.77","146.68","149.24","78,336,250"
05/16/2022,"145.55","147.52","144.18","145.54","86,643,773"
05/13/2022,"144.59","148.11","143.11","147.11","113,990,898"
05/12/2022,"142.77","146.20","138.80","142.56","182,602,000"
05/11/2022,"153.50","155.45","145.81","146.50","142,689,797"
05/10/2022,"155.52","156.74","152.93","154.51","115,366,703"
05/09/2022,"154.93","155.83","151.49","152.06","131,577,906"
05/06/2022,"156.01","159.44","154.18","157.28","116,124,602"
05/05/2022,"163.85","164.08","154.95","156.77","130,525,297"
05/04/2022,"159.67","166.48","159.26","166.02","108,256,492"
05/03/2022,"158.15","160.71","156.32","159.48","88,966,531"
05/02/2022,"156.71","158.23","153.27","157.96","123,055,297"
04/29/2022,"161.84","166.20","157.25","157.65","131,747,594"
04/28/2022,"159.25","164.52","158.93","163.64","130,216,797"
04/27/2022,"155.91","159.79","155.38","156.57","88,063,195"
04/26/2022,"162.25","162.34","156.72","156.80","95,623,242"
04/25/2022,"161.12","163.17","158.46","162.88","96,046,383"
04/22/2022,"166.46","167.87","161.50","161.79","84,882,414"
04/21/2022,"168.91","171.53","165.91","166.42","87,227,766"
04/20/2022,"168.76","168.88","166.10","167.23","67,929,805"
04/19/2022,"165.02","167.82","163.91","167.40","67,723,828"
04/18/2022,"163.92","166.60","163.57","165.07","69,023,938"
04/14/2022,"170.62","171.27","165.04","165.29","75,329,375"
04/13/2022,"167.39","171.04","166.77","170.40","70,618,930"
04/12/2022,"168.02","169.87","166.64","167.66","79,265,188"
04/11/2022,"168.71","169.03","165.50","165.75","72,246,711"
04/08/2022,"171.78","171.78","169.20","170.09","76,575,516"
04/07/2022,"171.16","173.36","169.85","172.14","77,594,648"
04/06/2022,"172.36","173.63","170.13","171.83","89,058,781"
04/05/2022,"177.50","178.30","174.42","175.06","73,401,789"
04/04/2022,"174.57","178.49","174.44","178.44","76,545,984"
04/01/2022,"174.03","174.88","171.94","174.31","78,751,328"
03/31/2022,"177.84","178.03","174.40","174.61","103,049,297"
03/30/2022,"178.55","179.61","176.70","177.77","92,633,148"
03/29/2022,"176.69","179.01","176.34","178.96","100,589,398"
03/28/2022,"172.17","175.73","172.00","175.60","90,371,922"
03/25/2022,"173.88","175.28","172.75","174.72","80,546,156"
03/24/2022,"171.06","174.14","170.21","174.07","90,131,422"
03/23/2022,"167.99","172.64","167.65","170.21","98,062,672"
03/22/2022,"165.51","169.42","164.91","168.82","81,532,008"
03/21/2022,"163.51","166.35","163.02","165.38","95,811,352"
03/18/2022,"160.51","164.48","159.76","163.98","123,511,695"
03/17/2022,"158.61","161.00","157.63","160.62","75,615,375"
03/16/2022,"157.05","160.00","154.46","159.59","102,300,203"
03/15/2022,"150.90","155.57","150.38","155.09","92,964,305"
03/14/2022,"151.45","154.12","150.10","150.62","108,732,094"
03/11/2022,"158.93","159.28","154.50","154.73","96,970,094"
03/10/2022,"160.20","160.39","155.98","158.52","105,342,000"
03/09/2022,"161.48","163.41","159.41","162.95","91,454,914"
03/08/2022,"158.82","162.88","155.80","157.44","131,148,297"
03/07/2022,"163.36","165.02","159.04","159.30","96,418,852"
03/04/2022,"164.49","165.55","162.10","163.17","83,819,594"
03/03/2022,"168.47","168.91","165.55","166.23","76,678,438"
03/02/2022,"164.39","167.36","162.95","166.56","79,724,750"
03/01/2022,"164.70","166.60","161.97","163.20","83,474,430"
02/28/2022,"163.06","165.42","162.43","165.12","95,056,633"
02/25/2022,"163.84","165.12","160.87","164.85","91,974,227"
02/24/2022,"152.58","162.85","152.00","162.74","141,147,500"
02/23/2022,"165.54","166.15","159.75","160.07","90,009,250"
02/22/2022,"164.98","166.69","162.15","164.32","91,162,758"
02/18/2022,"169.82","170.54","166.19","167.30","82,772,672"
02/17/2022,"171.03","171.91","168.47","168.88","69,589,344"
02/16/2022,"171.85","173.34","170.05","172.55","61,177,398"
02/15/2022,"170.97","172.95","170.25","172.79","64,286,320"
02/14/2022,"167.37","169.58","166.56","168.88","86,185,531"
02/11/2022,"172.33","173.08","168.04","168.64","98,670,688"
02/10/2022,"174.14","175.48","171.55","172.12","90,865,906"
02/09/2022,"176.05","176.65","174.90","176.28","71,285,039"
02/08/2022,"171.73","175.35","171.43","174.83","74,829,219"
02/07/2022,"172.86","173.95","170.95","171.66","77,251,203"
02/04/2022,"171.68","174.10","170.68","172.39","82,465,398"
02/03/2022,"174.48","176.24","172.12","172.90","89,418,070"
02/02/2022,"174.75","175.88","173.33","175.84","84,914,258"
02/01/2022,"174.01","174.84","172.31","174.61","86,213,914"
01/31/2022,"170.16","175.00","169.51","174.78","115,541,602"
01/28/2022,"165.71","170.35","162.80","170.33","179,935,703"
01/27/2022,"162.45","163.84","158.28","159.22","121,954,602"
01/26/2022,"163.50","164.39","157.82","159.69","108,275,297"
01/25/2022,"158.98","162.76","157.02","159.78","115,798,398"
01/24/2022,"160.02","162.30","154.70","161.62","162,706,703"
01/21/2022,"164.42","166.33","162.30","162.41","122,848,898"
01/20/2022,"166.98","169.68","164.18","164.51","91,420,523"
01/19/2022,"170.00","171.08","165.94","166.23","94,814,992"
01/18/2022,"171.51","172.54","169.41","169.80","91,168,727"
01/14/2022,"171.34","173.78","171.09","173.07","80,440,781"
01/13/2022,"175.78","176.62","171.79","172.19","84,505,758"
01/12/2022,"176.12","177.18","174.82","175.53","74,805,172"
01/11/2022,"172.32","175.18","170.82","175.08","76,138,312"
01/10/2022,"169.08","172.50","168.17","172.19","106,765,602"
01/07/2022,"172.89","174.14","171.03","172.17","86,709,148"
01/06/2022,"172.70","175.30","171.64","172.00","96,903,961"
01/05/2022,"179.61","180.17","174.64","174.92","94,537,602"
01/04/2022,"182.63","182.94","179.12","179.70","99,310,438"
01/03/2022,"177.83","182.88","177.71","182.01","104,701,203"
12/31/2021,"178.09","179.23","177.26","177.57","64,062,262"
12/30/2021,"179.47","180.57","178.09","178.20","59,773,008"
12/29/2021,"179.33","180.63","178.14","179.38","62,348,930"
12/28/2021,"180.16","181.33","178.53","179.29","79,144,336"
12/27/2021,"177.09","180.42","177.07","180.33","74,919,586"
12/23/2021,"175.85","176.85","175.27","176.28","68,356,570"
12/22/2021,"173.04","175.86","172.15","175.64","92,135,297"
12/21/2021,"171.56","173.20","169.12","172.99","91,185,914"
12/20/2021,"168.28","170.58","167.46","169.75","107,499,102"
12/17/2021,"169.93","173.47","169.69","171.14","195,923,391"
12/16/2021,"179.28","181.14","170.75","172.26","150,185,797"
12/15/2021,"175.11","179.50","172.31","179.30","131,063,297"
12/14/2021,"175.25","177.74","172.21","174.33","139,380,406"
12/13/2021,"181.12","182.13","175.53","175.74","153,236,984"
12/10/2021,"175.21","179.63","174.69","179.45","115,402,703"
12/09/2021,"174.91","176.75","173.92","174.56","108,923,695"
12/08/2021,"172.13","175.96","170.70","175.08","116,998,898"
12/07/2021,"169.08","171.58","168.34","171.18","120,405,398"
12/06/2021,"164.29","167.88","164.28","165.32","107,497,000"
12/03/2021,"164.02","164.96","159.72","161.84","118,023,102"
12/02/2021,"158.74","164.20","157.80","163.76","136,739,203"
12/01/2021,"167.48","170.30","164.53","164.77","152,423,016"
11/30/2021,"159.99","165.52","159.92","165.30","174,048,094"
11/29/2021,"159.37","161.19","158.79","160.24","88,748,227"
11/26/2021,"159.57","160.45","156.36","156.81","76,959,750"
11/24/2021,"160.75","162.14","159.64","161.94","69,463,617"
11/23/2021,"161.12","161.80","159.06","161.41","96,041,906"
11/22/2021,"161.68","165.70","161.00","161.02","117,467,906"
11/19/2021,"157.65","161.02","156.53","160.55","117,305,602"
11/18/2021,"153.71","158.67","153.05","157.87","137,827,703"
11/17/2021,"151.00","155.00","150.99","153.49","88,807,000"
11/16/2021,"149.94","151.49","149.34","151.00","59,256,207"
11/15/2021,"150.37","151.88","149.43","150.00","59,222,801"
11/12/2021,"148.43","150.40","147.48","149.99","63,804,008"
11/11/2021,"148.96","149.43","147.68","147.87","40,999,953"
11/10/2021,"150.02","150.13","147.85","147.92","65,187,090"
11/09/2021,"150.20","151.43","150.06","150.81","56,787,930"
11/08/2021,"151.41","151.57","150.16","150.44","55,020,871"
11/05/2021,"151.89","152.20","150.06","151.28","65,463,879"
11/04/2021,"151.58","152.43","150.64","150.96","60,394,621"
11/03/2021,"150.39","151.97","149.82","151.49","54,511,527"
11/02/2021,"148.66","151.57","148.65","150.02","69,121,992"
11/01/2021,"148.99","149.70","147.80","148.96","74,588,258"
10/29/2021,"147.22","149.94","146.41","149.80","124,953,203"
10/28/2021,"149.82","153.17","149.72","152.57","100,077,906"
10/27/2021,"149.36","149.73","148.49","148.85","56,094,930"
10/26/2021,"149.33","150.84","149.01","149.32","60,893,398"
10/25/2021,"148.68","149.37","147.62","148.64","50,720,559"
10/22/2021,"149.69","150.18","148.64","148.69","58,883,441"
10/21/2021,"148.81","149.64","147.87","149.48","61,420,992"
10/20/2021,"148.70","149.75","148.12","149.26","58,418,793"
10/19/2021,"147.01","149.17","146.55","148.76","76,378,891"
10/18/2021,"143.45","146.84","143.16","146.55","85,589,188"
10/15/2021,"143.77","144.90","143.51","144.84","67,940,328"
10/14/2021,"142.11","143.88","141.51","143.76","69,907,102"
10/13/2021,"141.24","141.40","139.20","140.91","78,762,719"
10/12/2021,"143.23","143.25","141.04","141.51","73,035,859"
10/11/2021,"142.27","144.81","141.81","142.81","64,452,219"
10/08/2021,"144.03","144.18","142.56","142.90","58,773,160"
10/07/2021,"143.06","144.22","142.72","143.29","61,732,660"
10/06/2021,"139.47","142.15","138.37","142.00","83,221,117"
10/05/2021,"139.49","142.24","139.36","141.11","80,861,055"
10/04/2021,"141.76","142.21","138.27","139.14","98,322,008"
10/01/2021,"141.90","142.92","139.11","142.65","94,639,586"
09/30/2021,"143.66","144.38","141.28","141.50","89,056,656"
09/29/2021,"142.47","144.45","142.03","142.83","74,602,039"
09/28/2021,"143.25","144.75","141.69","141.91","108,972,305"
09/27/2021,"145.47","145.96","143.82","145.37","74,150,727"
09/24/2021,"145.66","147.47","145.56","146.92","53,477,871"
09/23/2021,"146.65","147.08","145.64","146.83","64,838,168"
09/22/2021,"144.45","146.43","143.70","145.85","76,404,336"
09/21/2021,"143.93","144.60","142.78","143.43","75,833,961"
09/20/2021,"143.80","144.84","141.27","142.94","123,478,898"
09/17/2021,"148.82","148.82","145.76","146.06","129,868,797"
09/16/2021,"148.44","148.97","147.22","148.79","68,034,148"
09/15/2021,"148.56","149.44","146.37","149.03","83,281,320"
09/14/2021,"150.35","151.07","146.91","148.12","109,296,305"
09/13/2021,"150.63","151.42","148.75","149.55","102,404,305"
09/10/2021,"155.00","155.48","148.70","148.97","140,893,203"
09/09/2021,"155.49","156.11","153.95","154.07","57,305,727"
09/08/2021,"156.98","157.04","153.98","155.11","74,420,211"
09/07/2021,"154.97","157.26","154.39","156.69","82,278,258"
09/03/2021,"153.76","154.63","153.09","154.30","57,866,070"
09/02/2021,"153.87","154.72","152.40","153.65","71,171,320"
09/01/2021,"152.83","154.98","152.34","152.51","80,313,711"
08/31/2021,"152.66","152.80","151.29","151.83","86,453,117"
08/30/2021,"149.00","153.49","148.61","153.12","90,956,719"
08/27/2021,"147.48","148.75","146.83","148.60","55,802,391"
08/26/2021,"148.35","149.12","147.51","147.54","48,597,199"
08/25/2021,"149.81","150.32","147.80","148.36","58,991,301"
08/24/2021,"149.45","150.86","149.15","149.62","48,606,434"
08/23/2021,"148.31","150.19","147.89","149.71","60,131,809"
08/20/2021,"147.44","148.50","146.78","148.19","60,549,633"
08/19/2021,"145.03","148.00","144.50","146.70","86,960,312"
08/18/2021,"149.80","150.72","146.15","146.36","86,325,992"
08/17/2021,"150.23","151.68","149.09","150.19","92,229,742"
08/16/2021,"148.54","151.19","146.47","151.12","103,558,797"
08/13/2021,"148.97","149.44","148.27","149.10","59,375,008"
08/12/2021,"146.19","149.05","145.84","148.89","73,779,109"
